STT,ID,Module,Feature/Screen,Description/Assumptions,"Fields/Components, Component Type, Required?",User Flow
Web - Admin CMS (Super Admin),,,,,,
,1.1,Authentication & Authorization,Authentication & Authorization,,,
1,1.1.1,Authentication & Authorization,Login,"- Accessible by Super Admin only using email + password credentials.
- Account with Super Admin role must have been created in the system.
- If a valid session already exists => system skips the Login screen and navigates directly to the Dashboard.
- All connections must use HTTPS/SSL with TLS 1.2+.
- Maximum 5 consecutive failed login attempts before temporary lockout (15 minutes).","Screen name: Login

- EZAxis logo - Display - Positioned top of page
- Email - Text field - Required - Placeholder: ""Enter your email"" - Max 100 characters - Must follow email format - Error indicator on empty/invalid field
- Password - Text field (masked) - Required - Placeholder: ""Enter your password"" - Min 8 characters - Error indicator on empty field
- Forgot Password? - Hyperlink - Positioned below password field - Navigates to Forgot Password screen (1.1.3)
- Login - Button - Primary - Full-width","Screen: Login (Super Admin)

Preconditions:
- No authentication required - this is the entry point for unauthenticated Super Admin.
- Super Admin account must already exist in the system with role = Super Admin.

User navigates to the Admin CMS URL.

1. System checks for an existing valid session cookie/token:
   1.1. If valid session exists => system does NOT render Login screen => navigates directly to Dashboard => flow ends.
   1.2. If no valid session => system renders Login screen.

2. Super Admin enters email and password.

3. Super Admin clicks [Login].

4. System validates all fields before querying the database:
   4.1. Email field empty => system does NOT query database => displays inline error below email field: ""Email is required."" => flow stops.
   4.2. Password field empty => system does NOT query database => displays inline error below password field: ""Password is required."" => flow stops.
   4.3. Email format invalid (missing @ or domain) => system does NOT query database => displays inline error: ""Please enter a valid email address."" => flow stops.

5. System checks failed login attempt count for this email address:
   5.1. If this email has >= 5 consecutive failed attempts within the last 15 minutes => system does NOT query database => does NOT attempt authentication => displays error: ""Too many failed attempts. Please try again in 15 minutes."" => flow stops.

6. System queries the database with the provided credentials:
   6.1. Email not found in system => system does NOT create session => does NOT reveal whether the email exists (security) => displays generic error: ""Invalid email or password."" => increments failed attempt counter for this email => flow stops.
   6.2. Email found but role != Super Admin => system does NOT create session => displays generic error: ""Invalid email or password."" => increments failed attempt counter => flow stops.
   6.3. Email found, role = Super Admin, but account Status = Inactive => system does NOT create session => displays error: ""Your account is not active. Please contact the administrator."" => does NOT increment failed attempt counter => flow stops.
   6.4. Email found, role = Super Admin, Status = Active, password does NOT match => system does NOT create session => displays error: ""Invalid email or password."" => increments failed attempt counter => flow stops.
   6.5. Email found, role = Super Admin, Status = Active, password matches => proceeds to step 7.

7. System creates an authenticated session:
   + Generates a secure session token.
   + Stores token server-side linked to Super Admin account.
   + Sets secure HTTP-only cookie on the client.
   + Resets the failed attempt counter for this email to 0.
   + Records last login timestamp on the account.

8. System navigates Super Admin to the Dashboard.

Edge cases:
- Network error during authentication => system displays error: ""Unable to connect. Please check your connection and try again."" => no session created => form remains filled.
- Session token creation fails server-side => system displays error: ""Login failed due to a server error. Please try again."" => no session created.
- Super Admin navigates to Login URL while already authenticated => system redirects to Dashboard without showing Login (step 1.1).
- Super Admin pastes email with leading/trailing spaces => system trims whitespace before validation.
   5.X. Account Status = Pending (invitation not yet accepted) => does NOT create session => error: ""Your account is not yet activated. Please check your email for the invitation link."""
2,1.1.2,,Logout,"- Accessible by authenticated Super Admin from any screen.
- Logout option available in the user header dropdown (top-right of all screens).
- A confirmation popup is shown before executing logout to prevent accidental sign-out.
- On logout: session token is immediately invalidated server-side.","Component: User Header Dropdown (persistent - top-right on all screens)

- User avatar - Display - Circular avatar image or initials placeholder
- User name - Display - Full name
- Role badge - Display - Text: ""ADMIN""
- Dropdown trigger - Icon button (chevron)
- Dropdown menu items:
  + Update Profile - Hyperlink - Navigates to Account Settings (1.3.5)
  + Change Password - Hyperlink - Navigates to Change Password screen
  + Sign out - Hyperlink - Triggers logout confirmation popup

Popup: Confirm Sign Out
- Message - Display - Text: ""Are you sure you want to sign out?""
- Sign out - Button - Primary
- Cancel - Button - Secondary","Flow: Logout (Super Admin)

Preconditions:
- User must be authenticated as Super Admin.
- User header dropdown must be visible in the top-right corner of every authenticated screen.

1. Super Admin clicks the user avatar or chevron icon in the top-right header.

2. Dropdown menu expands with 3 options: Update Profile / Change Password / Sign out.

3. Super Admin clicks [Sign out].

4. System displays a confirmation popup:
   - Message: ""Are you sure you want to sign out?""
   - Two buttons: [Sign out] (primary) and [Cancel] (secondary).

5a. Super Admin clicks [Sign out] (confirm):
   + System immediately invalidates the session token server-side.
   + System clears the session cookie from the browser.
   + System does NOT retain any session data or pre-fill credentials.
   + System navigates to Login screen (1.1.1).
   + No success toast needed - Login screen is visual confirmation of logout.

5b. Super Admin clicks [Cancel]:
   + Popup closes.
   + Super Admin remains on the current screen, fully authenticated.
   + No session change occurs.

Edge cases:
- Super Admin's session expires naturally (server-side timeout) while browsing => on next action that requires authentication, system redirects to Login screen with message: ""Your session has expired. Please log in again.""
- Super Admin attempts to navigate back (browser back button) after logout => system detects no valid session => renders Login screen instead of any authenticated page.
- Multiple browser tabs open: Super Admin logs out in one tab => other tabs detect session invalidation on next API call => redirect to Login screen automatically.
- Network error during logout => session cookie may still be present but server-side token is invalidated => system still navigates to Login. On next login attempt, the old cookie is discarded."
3,1.1.3,,Forgot Password,"- Accessible by unauthenticated users from the Login screen.
- 2-screen flow: Screen 1 - Email input + OTP request; Screen 2 - OTP verification + new password entry.
- OTP is sent to the user's registered email via AWS SES / SendGrid.
- OTP validity: to be confirmed (assumed 10 minutes - flagged for BA review).
- After successful password reset => user is redirected to Login screen (1.1.1).","Screen 1 - Enter Email

- Page title - Display - Text: ""Forgot Password""
- Instruction text - Display - Text: ""Enter your registered email address. We will send you a verification code.""
- Email - Text field - Required - Placeholder: ""Enter your email"" - Max 100 characters - Must follow email format - Error indicator on empty/invalid
- Continue - Button - Primary - Full-width
- Back to Login - Hyperlink - Navigates back to Login (1.1.1)

Screen 2 - Enter OTP & New Password

- Page title - Display - Text: ""Reset Password""
- Instruction text - Display - Text: ""Enter the verification code sent to [email address] and set your new password.""
- OTP - Text field - Required - Placeholder: ""Enter verification code"" - Max 6 characters - Numeric only - Error indicator on empty/invalid
- New Password - Text field (masked) - Required - Placeholder: ""Enter new password"" - Min 8 characters - Error indicator on empty
- Confirm Password - Text field (masked) - Required - Placeholder: ""Re-enter new password"" - Must match New Password - Error indicator on mismatch
- Resend Code - Hyperlink - Resends a new OTP to the same email
- Submit - Button - Primary - Full-width","Screen: Forgot Password (Super Admin)

Preconditions:
- No authentication required.
- User must have a registered Super Admin account with the provided email in the system.

--- Screen 1: Enter Email ---

1. Super Admin clicks [Forgot Password?] on the Login screen => navigates to Screen 1 (Enter Email).

2. Super Admin enters email address.

3. Super Admin clicks [Continue]:
   3.1. Email field empty => inline error: ""Email is required."" => flow stops.
   3.2. Email format invalid => inline error: ""Please enter a valid email address."" => flow stops.
   3.3. System queries the database for this email:
    + Email not found in system => system does NOT send OTP => displays error: ""No account found with this email address."" => flow stops.
    + Email found but account Status = Inactive => system does NOT send OTP => displays error: ""Your account is not active. Please contact the administrator."" => flow stops.
    + Email found, Status = Active => system sends OTP to email via AWS SES/SendGrid => navigates to Screen 2.

4. Super Admin clicks [Back to Login] => navigates to Login (1.1.1) without sending OTP.

--- Screen 2: Enter OTP & New Password ---

5. System displays Screen 2 showing the masked email address the OTP was sent to.

6. OTP delivery:
   + System sends 6-digit numeric OTP to the registered email.
   + OTP is valid for 10 minutes (pending confirmation - flagged for BA review).
   + Only 1 active OTP exists per account at a time. Requesting a new OTP invalidates the previous one.

7. Super Admin enters: OTP code, New Password, Confirm New Password.

8. Super Admin clicks [Reset Password]:
   8.1. OTP field empty => error: ""Please enter the verification code."" => flow stops.
   8.2. OTP contains non-numeric characters => error: ""Verification code must be 6 digits."" => flow stops.
   8.3. OTP is incorrect => error: ""Invalid verification code. Please try again."" => does NOT reset password => flow stops. (After 5 incorrect OTP attempts, OTP is invalidated and Super Admin must restart from Screen 1.)
   8.4. OTP is expired (> 10 min) => error: ""This code has expired. Please request a new one."" => OTP invalidated => system returns Super Admin to Screen 1.
   8.5. New Password field empty => error: ""New password is required."" => flow stops.
   8.6. New Password < 8 characters => error: ""Password must be at least 8 characters."" => flow stops.
   8.7. Confirm New Password does not match New Password => error: ""Passwords do not match."" => flow stops.
   8.8. All valid:
    + System updates the password in the database.
    + All active sessions for this account are immediately invalidated (forces re-login on all devices).
    + OTP is consumed and cannot be reused.
    + System navigates to Login screen (1.1.1).
    + Success toast on Login screen: ""Password reset successfully. Please log in with your new password.""

9. Super Admin clicks [Resend Code]:
   + Button is disabled for 60 seconds after each send (countdown timer shown).
   + After 60 seconds: Super Admin clicks [Resend Code] => system invalidates current OTP => generates new OTP => sends to same email => displays: ""A new verification code has been sent.""
   + Previous OTP is no longer valid.

10. Super Admin clicks [Back to Login] on Screen 2:
    + Navigates to Login (1.1.1).
    + OTP remains valid (not invalidated) until it expires naturally.

Edge cases:
- Email delivery fails (SES/SendGrid error) => system displays error: ""Failed to send verification code. Please try again later."" => does NOT navigate to Screen 2.
- Super Admin opens Forgot Password in a new tab while another reset is in progress => the latest OTP is always the valid one; earlier OTPs are invalidated.
- Super Admin attempts to reuse an already-consumed OTP => error: ""Invalid verification code.""
- Super Admin uses the same password as current password => system accepts it (no restriction unless business confirms otherwise - flagged for BA review)."
4,1.1.4,,Multi-Language Switch,"- Accessible by all authenticated users from any screen.
- Supports English (EN) and Vietnamese (VI).
- Language switch applies immediately to all UI elements: menus, labels, buttons, system messages, and form placeholders.
- The selected language is persisted per user account across sessions.
- Feature is limited strictly to UI language switching - data content (asset names, descriptions, etc.) is not translated.","Component: Language Switcher (persistent - in the top navigation bar on all screens)

- Language selector - Dropdown or toggle - Positioned in header navigation bar
- Values: EN (English) | VI (Vietnamese)
- Current language - Display - Shows selected language code (EN or VI)
- Language option - Selectable - Each option shows the language name in its own language (e.g., ""English"", ""Ti?ng Vi?t"")","Flow: Multi-Language Switch (Super Admin)

Preconditions:
- User must be authenticated (language switch available on all authenticated screens).
- Language switcher is visible in the top navigation bar on every authenticated screen.

1. Super Admin clicks the language selector in the navigation bar.

2. Dropdown/toggle renders with 2 options:
   + English (EN) - shown as ""English""
   + Vietnamese (VI) - shown as ""Ti?ng Vi?t""
   + Currently selected language is visually highlighted.

3. Super Admin selects a language (different from current):
   3.1. System immediately re-renders all UI text in the selected language:
    + All menu labels, button text, form placeholders, error messages, system notifications, and page titles switch to the new language.
    + No page reload required.
    + Data content (asset names, descriptions entered by users) is NOT translated - only UI strings change.
   3.2. System sends a request to save the language preference to the Super Admin's account in the database.
   3.3. System confirms save:
    + If save succeeds => preference persists across all future sessions on all devices.
    + If save fails (network error) => UI still displays in the newly selected language for the current session => system displays a non-blocking warning: ""Failed to save language preference. The change will apply to this session only."" => preference reverts to previous on next login.
   3.4. Selected language persists when Super Admin navigates between screens within the session.

4. Super Admin selects the same language already selected => no action taken, dropdown/toggle closes.

5. Super Admin closes the dropdown without selecting => no language change.

Edge cases:
- Super Admin switches language mid-form (e.g., while filling Create Asset form) => UI text re-renders in new language but field values entered by Super Admin are preserved.
- Super Admin switches language while a modal/popup is open => popup text also updates immediately.
- Super Admin has no language preference stored (first login) => system defaults to English (EN).
- Browser locale differs from system language setting => system respects the user's saved preference, not browser locale."
5,1.1.5,,Accept Invitation & Set Password,"- Accessible to any invited user via a one-time invitation link (email).
- No authentication required — this is the entry point for newly invited users.
- Invitation link contains a signed token (expires in 72 hours).
- Account status is Pending until user completes this flow and sets a password.
- Applies to all roles: Admin, Building Manager, MSP Supervisor, MSP Technician.
- Link is single-use: once password is set, the token is consumed and the link expires.","Screen: Set Password (Invitation)

- Welcome message: ""You've been invited to EZAxis. Set your password to activate your account.""
- Email address - Display (read-only, pre-filled from invitation)
- Full Name - Display (read-only, pre-filled from account)
- New Password - Password field - Required - Min 8 chars - Max 64 chars - Masked - Show/hide toggle
- Confirm Password - Password field - Required - Must match New Password - Masked - Show/hide toggle
- [Activate Account] - Button - Primary - Full-width
- Password strength indicator (Weak / Fair / Strong) shown below New Password field","Screen: Set Password (Invitation)

Preconditions:
- No authentication required.
- User accesses this screen via the invitation link in their email.
- Invitation token must be valid (not expired, not already used).

1. User opens invitation email => clicks [Accept Invitation] link.
2. System validates the invitation token:
   2.1. Token not found or malformed => system does NOT render Set Password screen => error page: ""This invitation link is invalid. Please contact your administrator.""
   2.2. Token already used (account already activated) => error page: ""This invitation has already been accepted. Please log in."" => [Go to Login] button.
   2.3. Token expired (> 72 hours) => error page: ""This invitation link has expired. Please contact your administrator to resend the invitation."" => no further action possible.
   2.4. Token valid => system renders Set Password screen pre-filled with user's email and full name (read-only).

3. User enters New Password and Confirm Password => clicks [Activate Account]:
   3.1. New Password empty => inline error: ""Password is required.""
   3.2. New Password < 8 characters => inline error: ""Password must be at least 8 characters.""
   3.3. New Password > 64 characters => inline error: ""Password must not exceed 64 characters.""
   3.4. Confirm Password does not match New Password => inline error: ""Passwords do not match.""
   3.5. Network unavailable => error toast: ""No internet connection. Please try again.""
   3.6. All valid:
    + System hashes and stores the password securely.
    + Invitation token consumed (permanently invalidated — cannot be reused).
    + Account status changed from Pending => Active.
    + System creates an authenticated session for the user.
    + System navigates user directly to their platform Dashboard (no need to log in again).
    + Success toast: ""Account activated successfully. Welcome to EZAxis!""

4. If user closes browser before completing: token remains valid until expiry (72h). User can click the link again and complete setup.

Edge cases:
- User tries to use the same invitation link after successful activation => ""This invitation has already been accepted. Please log in.""
- User opens invitation link on mobile browser => same web flow renders responsively.
- Admin resends invitation before original expires => original token invalidated; new 72h token issued.
- User's email client mangles the link (line-break in URL) => link fails to open correctly; user must contact admin to resend."
,1.2,Building & Location Management,Building & Location Management,,,
6,1.2.1,Building & Location Management,View Building List,"- Accessible by Super Admin only.
- Entry point: navigate to Buildings in the left sidebar.
- Left panel: scrollable list of all buildings - supports search by name.
- Clicking a building in the sidebar loads that building's detail on the right.
- Each building row shows: Name, Status badge (Active/Inactive), floor count, address.
- [+ New Building] button in the top-right of the page header.","Screen name: Buildings

Left sidebar (220px):
- Page header: ""Buildings"" + building count label
- Search - Text field - Placeholder: ""Search...""
- Building list - Scrollable
  + Building name - Text - Bold - Clickable
  + Status badge - Active (green) / Inactive (amber)
  + Sub-label - Text - ""[N] floors · [Address]""

Right detail panel (tabs):
- Building name - Display - Bold title
- Address + floor count + area count - Sub-label
- [Edit] - Button - Secondary
- [Delete] - Button - Danger (icon only)
- Tabs: Floors & Areas | As-Built Drawing | Info

Tab: Floors & Areas (default)
- [Add floor] - Button - Primary - top-right
- Floor accordion cards (per floor):
  + Floor name + area/unit count badge - collapsible header
  + Edit icon + Delete icon - in floor header
  + Area/unit tags (expanded) - pill tags: Area (green) / Unit (blue)
  + [+ Add] tag - dashed pill to add new area/unit inline

Tab: As-Built Drawing
- Empty state: Upload zone - PDF only - Max 50 MB - [Choose file] button
- Loaded state: PDF viewer with asset tag pins + [Edit tags] + [Download] + [Delete]

Tab: Info
- Grid: Building name / Status / Address / Total floors / Total areas/units

Empty state (no building selected):
- Right panel: ""Select a building to view details""","Screen: Buildings (Super Admin)

Preconditions:
- Super Admin must be authenticated.
- Navigates to Buildings via the left sidebar navigation.

1. Super Admin clicks ""Buildings"" in the left sidebar.

2. System loads the Buildings screen:
   2.1. Left panel renders a scrollable list of all buildings in the system, sorted alphabetically by name.
   2.2. Each building row shows: Building Name (bold) / Status badge (Active green / Inactive amber) / Sub-label ""[N] floors - [Address]"".
   2.3. Building count label shown in left panel header (e.g., ""4 buildings"").
   2.4. If no buildings exist => left panel shows empty state: ""No buildings. Click [+ New Building] to start."" => right panel shows: ""Select a building to view details.""

3. Super Admin types in the Search field:
   3.1. System filters the building list in real time as Super Admin types.
   3.2. Filter is case-insensitive and matches partial names.
   3.3. If search yields no results => left panel shows: ""No buildings match your search.""
   3.4. Super Admin clears the Search field => full list restores.

4. Super Admin clicks a building row:
   4.1. Selected building highlighted in the left panel with a left border accent.
   4.2. Right panel loads that building's detail view with default tab = Floors & Areas.
   4.3. Right panel header shows: Building Name / [N] floors - [N] areas/units - Address.
   4.4. Action buttons in right panel header: [Edit] (Secondary) / trash icon (Danger).

5. Super Admin clicks the Floors & Areas tab (default):
   5.1. System renders floor accordion cards for the selected building.
   5.2. Each floor card shows: Floor Name / area/unit count badge / Edit pencil / Delete trash icon.
   5.3. Expanded floor card shows area/unit pill tags + dashed [+ Add] pill.
   5.4. If no floors exist => ""No floors yet. Click [Add floor] to start.""

6. Super Admin clicks the As-Built Drawing tab:
   6.1. If no drawing uploaded => upload zone shown (triggers 1.5.19).
   6.2. If drawing exists => PDF viewer rendered with asset tag pins.

7. Super Admin clicks the Info tab:
   7.1. Shows: Building Name / Status / Address / Total floors / Total areas/units in a grid layout.

8. Super Admin clicks a different building in the left panel:
   8.1. Right panel updates to show the newly selected building.
   8.2. Previously selected building loses highlight.

Edge cases:
- Super Admin navigates away and returns => last selected building is NOT remembered (resets to no selection).
- Very long building name => name truncated with ellipsis in the left panel row, full name shown in right panel header.
- Building with 0 floors => Floors & Areas tab shows empty state.
- System fails to load building list => error banner: ""Failed to load buildings. Please refresh the page.""
"
7,1.2.2,,Create Building,"- Accessible by Super Admin only.
- Triggered by [+ New Building] button in page header.
- Creates a new building record. After creation, user immediately sets up Floors and Areas/Units within the same screen - no navigation required.
- The building appears instantly in the left sidebar after creation.","Popup: New Building

- Building Name - Text field - Required - Max 100 characters - Must be unique - Error indicator on empty/duplicate
- Address - Text field - Optional - Max 255 characters
- Status - Dropdown - Required - Values: Active / Inactive - Default: Active
- Cancel - Button - Secondary
- Create - Button - Primary

After creation => popup closes => building auto-selected in sidebar => right panel opens on Floors & Areas tab => Super Admin continues adding Floors and Areas/Units using the [Add floor] and [+ Add] inline controls in the detail panel (see 1.2.1 Tab: Floors & Areas).","Flow: Create Building (Super Admin)

Preconditions:
- Super Admin authenticated, on Buildings screen.

--- Step 1: Create Building record ---

1. Super Admin clicks [+ New Building] in the page header.

2. System opens ""New Building"" popup modal.

3. Super Admin fills fields:
   - Building Name (required)
   - Address (optional)
   - Status (default: Active)

4. Super Admin clicks [Create]:
   4.1. Building Name empty => inline error on field: ""Building name is required."" => does NOT create => flow stops.
   4.2. Building Name exceeds 100 characters => inline error: ""Building name must not exceed 100 characters."" => flow stops.
   4.3. Building Name already exists (case-insensitive check) => inline error: ""A building with this name already exists."" => does NOT create => flow stops.
   4.4. Address exceeds 255 characters => inline error: ""Address must not exceed 255 characters."" => flow stops.
   4.5. All valid:
    + Building record created in database.
    + Building appears at the correct alphabetical position in the left panel list.
    + Building is auto-selected in the left panel (highlighted).
    + Right panel opens on Floors & Areas tab showing empty state: ""No floors yet. Click [Add floor] to start.""
    + Success toast: ""Building created successfully.""
    + Popup closes.

5. Super Admin clicks [Cancel]:
   + Popup closes.
   + No building created.
   + Previous selection in left panel is maintained.

--- Step 2: Add Floors (after building created) ---

6. Super Admin clicks [Add floor] button (top-right of right panel):

7. System opens inline prompt or small popup for Floor Name.

8. Super Admin enters Floor Name => clicks [Add]:
   8.1. Floor Name empty => error: ""Floor name is required."" => flow stops.
   8.2. Floor Name duplicate within this building => error: ""A floor with this name already exists in this building."" => flow stops.
   8.3. Valid => floor accordion card appears in Floors & Areas tab.
   8.4. Floor is auto-expanded showing empty area list with dashed [+ Add] pill.
   8.5. Building sub-label in left panel updates: ""[N] floors"".

9. Super Admin repeats step 6-8 for each additional floor (e.g., B2, B1, Ground Floor, F1, F2, Rooftop).

--- Step 3: Add Areas/Units per Floor ---

10. Super Admin clicks the dashed [+ Add] pill inside an expanded floor card.

11. System opens a small inline form or popup:
    - Type: Radio button - Area / Unit (required)
    - Name: Text field (required)

12. Super Admin selects type, enters name => confirms:
    12.1. Type not selected => error: ""Please select Area or Unit."" => flow stops.
    12.2. Name empty => error: ""Name is required."" => flow stops.
    12.3. Name duplicate within this floor => error: ""A location with this name already exists on this floor."" => flow stops.
    12.4. Valid => area/unit pill tag appears in the floor card.
    12.5. Building sub-label updates: ""[N] floors - [N] areas/units"".

13. Super Admin repeats step 10-12 for each area/unit on each floor.

Edge cases:
- Super Admin creates building then navigates away before adding floors => building is saved but has 0 floors (valid state).
- Super Admin adds floor then navigates away before adding areas => floor is saved with 0 areas (valid state).
- Network error during building creation => system displays: ""Failed to create building. Please try again."" => no partial record created.
- Super Admin attempts to create > 1 building with the same name across different capitalizations (e.g., ""Landmark 81"" vs ""landmark 81"") => system treats as duplicate (case-insensitive).
"
